game_pk,game_date,team_id,team,is_home,opp_team_id,opp_team,days_rest,home_away_streak,series_game_num,travel_miles,year
778554,2025-03-27,108,LAA,0,145,CWS,0,-1,1,1731.3431702590296,2025
778534,2025-03-29,108,LAA,0,145,CWS,2,-2,2,0.0,2025
778527,2025-03-30,108,LAA,0,145,CWS,1,-3,3,0.0,2025
778503,2025-03-31,108,LAA,0,138,STL,1,-4,1,259.4675939691297,2025
778495,2025-04-01,108,LAA,0,138,STL,1,-5,2,0.0,2025
778473,2025-04-02,108,LAA,0,138,STL,1,-6,3,0.0,2025
778447,2025-04-05,108,LAA,1,114,CLE,3,1,1,1572.920237629869,2025
778437,2025-04-06,108,LAA,1,114,CLE,1,2,2,0.0,2025
778425,2025-04-06,108,LAA,1,114,CLE,0,3,3,0.0,2025
778417,2025-04-08,108,LAA,0,139,TB,2,-1,1,2121.7324696841006,2025
778399,2025-04-09,108,LAA,0,139,TB,1,-2,2,0.0,2025
778382,2025-04-10,108,LAA,0,139,TB,1,-3,3,0.0,2025
778368,2025-04-12,108,LAA,0,117,HOU,2,-4,1,781.1406098722147,2025
778351,2025-04-12,108,LAA,0,117,HOU,0,-5,2,0.0,2025
778329,2025-04-13,108,LAA,0,117,HOU,1,-6,3,0.0,2025
778306,2025-04-16,108,LAA,0,140,TEX,3,-7,1,230.66355960201378,2025
778289,2025-04-17,108,LAA,0,140,TEX,1,-8,2,0.0,2025
778281,2025-04-18,108,LAA,0,140,TEX,1,-9,3,0.0,2025
778260,2025-04-19,108,LAA,1,137,SF,1,1,1,1201.6984237735796,2025
778232,2025-04-20,108,LAA,1,137,SF,1,2,2,0.0,2025
778243,2025-04-20,108,LAA,1,137,SF,0,3,3,0.0,2025
778211,2025-04-23,108,LAA,1,134,PIT,3,4,1,0.0,2025
778202,2025-04-24,108,LAA,1,134,PIT,1,5,2,0.0,2025
778191,2025-04-25,108,LAA,1,134,PIT,1,6,3,0.0,2025
778186,2025-04-25,108,LAA,0,142,MIN,0,-1,1,1515.2340388389878,2025
778166,2025-04-26,108,LAA,0,142,MIN,1,-2,2,0.0,2025
778144,2025-04-27,108,LAA,0,142,MIN,1,-3,3,0.0,2025
778121,2025-04-30,108,LAA,0,136,SEA,3,-4,1,1390.7389323897291,2025
778104,2025-04-30,108,LAA,0,136,SEA,0,-5,2,0.0,2025
778101,2025-05-02,108,LAA,1,116,DET,2,1,1,980.5935873257743,2025
778085,2025-05-03,108,LAA,1,116,DET,1,2,2,0.0,2025
778067,2025-05-04,108,LAA,1,116,DET,1,3,3,0.0,2025
778050,2025-05-04,108,LAA,1,116,DET,0,4,4,0.0,2025
778025,2025-05-07,108,LAA,1,141,TOR,3,5,1,0.0,2025
778009,2025-05-08,108,LAA,1,141,TOR,1,6,2,0.0,2025
778000,2025-05-09,108,LAA,1,141,TOR,1,7,3,0.0,2025
777986,2025-05-10,108,LAA,1,110,BAL,1,8,1,0.0,2025
777973,2025-05-11,108,LAA,1,110,BAL,1,9,2,0.0,2025
777961,2025-05-11,108,LAA,1,110,BAL,0,10,3,0.0,2025
777947,2025-05-13,108,LAA,0,135,SD,2,-1,1,86.36512380343024,2025
777932,2025-05-14,108,LAA,0,135,SD,1,-2,2,0.0,2025
777914,2025-05-15,108,LAA,0,135,SD,1,-3,3,0.0,2025
777899,2025-05-17,108,LAA,0,119,LAD,2,-4,1,113.20881075215142,2025
777884,2025-05-18,108,LAA,0,119,LAD,1,-5,2,0.0,2025
777866,2025-05-18,108,LAA,0,119,LAD,0,-6,3,0.0,2025
777853,2025-05-20,108,LAA,0,133,OAK,2,-7,1,337.12266209703967,2025
