Date,Matchup,Away,Home,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-01,ATL at CWS,ATL,CWS,-150,+190,+160,+160,,,+190,,+175,+175,,,-180,,,,,+120,+460,+400,+400,,,+460,,+400,+400,,,+150,,,,
2024-04-01,COL at CHC,COL,CHC,+420,+500,+450,+450,,,+500,,+450,+450,,,+155,,,,,+280,+265,+220,+220,,,+240,,+265,+265,,,-190,,,,
2024-04-01,PIT at WSH,PIT,WSH,-115,+325,+300,+320,,,+300,,+325,+325,,,-120,,,,,-115,+280,+240,+240,,,+280,,+265,+265,,,-110,,,,
2024-04-01,KC at BAL,KC,BAL,-130,-130,-135,-140,,,-135,,-130,-130,,,+140,,,,,-140,+280,+240,+240,,,+280,,+250,+250,,,-170,,,,
2024-04-01,LAA at MIA,LAA,MIA,-143,-115,-120,-115,,,-120,,-121,-121,,,-115,,,,,-115,+310,+250,+250,,,+290,,+310,+310,,,-115,,,,
2024-04-01,CIN at PHI,CIN,PHI,-127,-132,-135,-135,,,-140,,-132,-132,,,-105,,,,,-140,+280,+225,+225,,,+280,,+255,+255,,,-125,,,,
2024-04-01,TEX at TB,TEX,TB,-129,-124,-125,-125,,,-125,,-124,-124,,,+105,,,,,+290,+275,+230,+230,,,+270,,+275,+275,,,-135,,,,
2024-04-01,DET at NYM,DET,NYM,+410,+410,+325,+325,,,+410,,+400,+400,,,-105,,,,,+250,+280,+240,+240,,,+280,,+270,+270,,,-125,,,,
2024-04-01,TOR at HOU,TOR,HOU,+320,+320,+280,+280,,,+320,,+295,+295,,,+100,,,,,+225,+240,+210,+220,,,+240,,+210,+210,,,-130,,,,
2024-04-01,CLE at SEA,CLE,SEA,-137,-136,-140,-145,,,-140,,-136,-136,,,-125,,,,,+285,+350,+295,+320,,,+350,,+295,+295,,,-105,,,,
2024-04-01,STL at SD,STL,SD,-137,-125,-125,-125,,,-125,,-148,-148,,,-105,,,,,+285,+310,+240,+240,,,+290,,+310,+310,,,-125,,,,
2024-04-01,BOS at ATH,BOS,ATH,-136,-125,-125,-135,,,-125,,-125,-125,,,-135,,,,,+300,+340,+320,+320,,,+340,,+330,+330,,,+105,,,,
2024-04-01,NYY at ARI,NYY,ARI,-103,-105,-109,-110,,,-105,,-109,-109,,,-125,,,,,+300,+290,+290,+275,,,+290,,+290,+290,,,-105,,,,
2024-04-01,SF at LAD,SF,LAD,-129,-121,-125,-125,,,-125,,-121,-121,,,,,,,,+230,+225,+220,+200,,,+220,,+225,+225,,,,,,,
2024-04-02,MIN at MIL,MIN,MIL,+310,+350,+275,+275,,,+350,,+300,+300,,,-115,,,,,+320,+310,+260,+260,,,+310,,+295,+295,,,-115,,,,
2024-04-02,KC at BAL,KC,BAL,+360,+380,+325,+325,,,+380,,+360,+360,,,+115,,,,,+250,+250,+210,+210,,,+250,,+240,+240,,,-145,,,,
2024-04-02,LAA at MIA,LAA,MIA,+360,+340,+325,+325,,,+330,,+340,+340,,,-105,,,,,+260,+250,+210,+210,,,+250,,+245,+245,,,-125,,,,
2024-04-02,CIN at PHI,CIN,PHI,+350,+380,+325,+325,,,+380,,+375,+375,,,+110,,,,,+230,+250,+225,+225,,,+250,,+240,+240,,,-140,,,,
2024-04-02,TEX at TB,TEX,TB,-125,-120,-125,-120,,,-125,,-127,-127,,,+100,,,,,+240,+235,+210,+210,,,+220,,+235,+235,,,-130,,,,
2024-04-02,COL at CHC,COL,CHC,+420,+340,+340,+325,,,+340,,+340,+340,,,+115,,,,,+270,+270,+220,+220,,,+270,,+225,+225,,,-145,,,,
2024-04-02,ATL at CWS,ATL,CWS,-120,-115,-117,-115,,,-120,,-117,-117,,,-140,,,,,+140,+370,+300,+300,,,+370,,+350,+350,,,+110,,,,
2024-04-02,TOR at HOU,TOR,HOU,+110,+370,+300,+300,,,+340,,+370,+370,,,+100,,,,,-140,+250,+210,+210,,,+250,,+245,+245,,,-130,,,,
2024-04-02,CLE at SEA,CLE,SEA,-150,-155,-159,-160,,,-155,,-159,-159,,,+100,,,,,-110,+350,+310,+320,,,+350,,+310,+310,,,-130,,,,
2024-04-02,BOS at ATH,BOS,ATH,-140,-130,-140,-140,,,-130,,-143,-143,,,-130,,,,,+360,+380,+320,+350,,,+380,,+320,+320,,,+100,,,,
2024-04-02,STL at SD,STL,SD,+100,+350,+350,+325,,,+350,,+350,+350,,,+120,,,,,-130,+270,+225,+225,,,+270,,+260,+260,,,-150,,,,
2024-04-02,NYY at ARI,NYY,ARI,-105,+280,+240,+240,,,+280,,+265,+265,,,-115,,,,,-125,+320,+260,+260,,,+320,,+295,+295,,,-115,,,,
2024-04-02,SF at LAD,SF,LAD,+310,+340,+295,+325,,,+340,,+295,+295,,,+100,,,,,+265,+280,+240,+240,,,+280,,+265,+265,,,-130,,,,
2024-04-03,KC at BAL,KC,BAL,+430,+400,+360,+400,,,+390,,+360,+360,,,+105,,,,,+320,+310,+310,+240,,,+310,,+310,+310,,,-135,,,,
2024-04-03,MIN at MIL,MIN,MIL,-135,-122,-130,-130,,,-135,,-122,-122,,,-120,,,,,+300,+330,+280,+300,,,+330,,+280,+280,,,-110,,,,
2024-04-03,LAA at MIA,LAA,MIA,-135,-125,-135,-125,,,-135,,-143,-143,,,-120,,,,,+300,+300,+300,+240,,,+300,,+300,+300,,,-110,,,,
2024-04-03,TEX at TB,TEX,TB,-130,-135,-140,-140,,,-135,,-141,-141,,,-105,,,,,+280,+310,+310,+275,,,+310,,+310,+310,,,-125,,,,
2024-04-03,BOS at ATH,BOS,ATH,-125,-145,-148,-150,,,-145,,-148,-148,,,-130,,,,,+330,+430,+360,+375,,,+430,,+360,+360,,,+100,,,,
2024-04-03,NYY at ARI,NYY,ARI,-140,-115,-124,-115,,,-125,,-124,-124,,,-130,,,,,+330,+330,+275,+275,,,+330,,+310,+310,,,+100,,,,
2024-04-03,CIN at PHI,CIN,PHI,+450,+500,+400,+400,,,+480,,+500,+500,,,+120,,,,,+230,+260,+210,+210,,,+260,,+215,+215,,,-150,,,,
2024-04-03,CLE at SEA,CLE,SEA,-160,-150,-155,-155,,,-150,,-155,-155,,,+115,,,,,+300,+290,+260,+260,,,+290,,+270,+265,,,-145,,,,
2024-04-03,STL at SD,STL,SD,-145,-115,-130,-115,,,-130,,-141,-141,,,+105,,,,,+290,+250,+190,+190,,,+250,,+245,+245,,,-135,,,,
2024-04-03,PIT at WSH,PIT,WSH,-130,-130,-135,-130,,,-135,,-136,-136,,,-145,,,,,+360,+380,+300,+300,,,+380,,+330,+330,,,+115,,,,
2024-04-03,COL at CHC,COL,CHC,-182,-160,-165,-160,,,-165,,-165,-165,,,+140,,,,,+300,+280,+230,+230,,,+280,,+260,+260,,,-170,,,,
2024-04-03,TOR at HOU,TOR,HOU,+320,+320,+320,+320,,,+320,,+320,+320,,,+120,,,,,+230,+250,+200,+200,,,+250,,+230,+230,,,-150,,,,
2024-04-03,SF at LAD,SF,LAD,-130,-122,-125,-125,,,-130,,-122,-122,,,+140,,,,,+210,+190,+175,+175,,,+190,,+188,+188,,,-170,,,,
2024-04-04,DET at NYM,DET,NYM,-135,-135,-136,-150,,,-135,,-136,-136,,,-110,,,,,-125,+265,+260,+260,,,+260,,+265,+265,,,-120,,,,
2024-04-04,PIT at WSH,PIT,WSH,+300,+290,+290,+275,,,+290,,+290,+290,,,-125,,,,,+300,+310,+310,+260,,,+310,,+310,+310,,,-105,,,,
2024-04-04,CLE at MIN,CLE,MIN,-135,-150,-160,-160,,,-150,,-167,-167,,,+110,,,,,+270,+300,+250,+250,,,+280,,+300,+300,,,-140,,,,
2024-04-04,MIA at STL,MIA,STL,+320,+335,+300,+300,,,+320,,+335,+335,,,+100,,,,,+260,+270,+240,+240,,,+250,,+270,+270,,,-130,,,,
2024-04-04,DET at NYM,DET,NYM,-170,-125,-143,-155,,,-125,,-143,-143,,,-105,,,,,+370,+280,+250,+275,,,+280,,+250,+250,,,-125,,,,
2024-04-04,CWS at KC,CWS,KC,-125,-135,-141,-135,,,-145,,-141,-141,,,+120,,,,,+250,+270,+240,+240,,,+270,,+255,+255,,,-150,,,,
2024-04-05,TOR at NYY,TOR,NYY,-115,-120,-121,-120,,,-125,,-121,-121,,,+105,,,,,+240,+240,+200,+200,,,+240,,+205,+205,,,-135,,,,
2024-04-05,ATH at DET,ATH,DET,+130,+500,+450,+450,,,+500,,+475,+475,,,+150,,,,,-160,+260,+210,+210,,,+260,,+245,+245,,,-180,,,,
2024-04-05,LAD at CHC,LAD,CHC,-152,-145,-148,-160,,,-145,,-148,-152,,,-150,,,,,+410,+430,+420,+425,,,+430,,+420,+430,,,+120,,,,
2024-04-05,TB at COL,TB,COL,+112,+125,+115,+125,,,+115,,+114,+114,,,-135,,,,,+105,+280,+250,+250,,,+280,,+260,+260,,,+105,,,,
2024-04-05,BAL at PIT,BAL,PIT,-150,-145,-148,-160,,,-145,,-148,-148,,,-145,,,,,+375,+360,+350,+350,,,+360,,+350,+350,,,+115,,,,
2024-04-05,SD at SF,SD,SF,+350,+370,+300,+300,,,+370,,+340,+340,,,-115,,,,,+310,+325,+300,+300,,,+320,,+325,+325,,,-115,,,,
2024-04-05,NYM at CIN,NYM,CIN,+275,+320,+280,+280,,,+320,,+310,+310,,,+105,,,,,+300,+300,+240,+240,,,+300,,+285,+285,,,-135,,,,
2024-04-05,PHI at WSH,PHI,WSH,-124,-130,-130,-130,,,-130,,-137,-137,,,-140,,,,,+425,+430,+400,+400,,,+410,,+430,+430,,,+110,,,,
2024-04-05,ARI at ATL,ARI,ATL,-122,-110,-115,-115,,,-110,,-115,-115,,,+150,,,,,+185,+190,+155,+155,,,+190,,+165,+165,,,-180,,,,
2024-04-05,CWS at KC,CWS,KC,-136,-135,-135,-135,,,-135,,-137,-137,,,+120,,,,,+255,+240,+225,+225,,,+240,,+235,+235,,,-150,,,,
2024-04-05,HOU at TEX,HOU,TEX,+230,+240,+200,+200,,,+240,,+235,+235,,,-135,,,,,+310,+290,+275,+275,,,+280,,+290,+290,,,+105,,,,
2024-04-05,SEA at MIL,SEA,MIL,+340,+390,+325,+325,,,+390,,+350,+350,,,+110,,,,,+335,+320,+300,+320,,,+310,,+300,+300,,,-140,,,,
2024-04-05,BOS at LAA,BOS,LAA,-129,-127,-130,-130,,,-140,,-127,-127,,,-120,,,,,+280,+350,+275,+275,,,+350,,+275,+275,,,-110,,,,
2024-04-06,ATH at DET,ATH,DET,+350,+360,+300,+325,,,+360,,+300,+300,,,+105,,,,,+290,+300,+225,+225,,,+280,,+300,+300,,,-135,,,,
2024-04-06,CLE at MIN,CLE,MIN,-136,-143,-145,-150,,,-145,,-143,-143,,,+115,,,,,+240,+270,+240,+240,,,+270,,+255,+255,,,-145,,,,
2024-04-06,MIA at STL,MIA,STL,-139,-145,-145,-145,,,-145,,-155,-155,,,+115,,,,,+280,+295,+260,+260,,,+280,,+295,+295,,,-145,,,,
2024-04-06,LAD at CHC,LAD,CHC,+240,+260,+210,+210,,,+260,,+245,+245,,,-140,,,,,+375,+420,+350,+350,,,+420,,+390,+390,,,+110,,,,
2024-04-06,PHI at WSH,PHI,WSH,+225,+215,+200,+200,,,+210,,+215,+215,,,-150,,,,,+380,+450,+350,+350,,,+450,,+400,+400,,,+120,,,,
2024-04-06,BAL at PIT,BAL,PIT,+255,+260,+220,+220,,,+260,,+245,+245,,,-130,,,,,+340,+340,+280,+280,,,+340,,+320,+320,,,+100,,,,
2024-04-06,NYM at CIN,NYM,CIN,+250,+310,+260,+260,,,+310,,+275,+275,,,-110,,,,,+320,+275,+250,+250,,,+270,,+275,+275,,,-120,,,,
2024-04-06,HOU at TEX,HOU,TEX,+245,+270,+230,+230,,,+270,,+265,+265,,,-110,,,,,+260,+240,+240,+200,,,+240,,+240,+240,,,-120,,,,
2024-04-06,TOR at NYY,TOR,NYY,-136,-155,-167,-155,,,-170,,-167,-167,,,+100,,,,,+270,+340,+280,+280,,,+330,,+340,+340,,,-130,,,,
2024-04-06,SEA at MIL,SEA,MIL,-143,-135,-137,-135,,,-145,,-137,-137,,,-115,,,,,+325,+290,+260,+260,,,+290,,+285,+285,,,-115,,,,
2024-04-06,CWS at KC,CWS,KC,+340,+400,+375,+375,,,+400,,+390,+390,,,+150,,,,,+250,+210,+180,+180,,,+200,,+210,+210,,,-180,,,,
2024-04-06,ARI at ATL,ARI,ATL,-112,-115,-117,-120,,,-115,,-117,-117,,,+155,,,,,+188,+210,+190,+190,,,+210,,+195,+195,,,-190,,,,
2024-04-06,TB at COL,TB,COL,+235,+250,+235,+190,,,+250,,+235,+235,,,,,,,,+225,+260,+250,+240,,,+250,,+260,+260,,,,,,,
2024-04-06,SD at SF,SD,SF,+300,+330,+260,+260,,,+330,,+310,+310,,,-105,,,,,+340,+340,+340,+300,,,+340,,+340,+340,,,-125,,,,
2024-04-06,BOS at LAA,BOS,LAA,-143,-150,-155,-155,,,-150,,-162,-152,,,-105,,,,,+300,+350,+280,+280,,,+350,,+280,+300,,,-125,,,,
2024-04-07,TOR at NYY,TOR,NYY,+100,+375,+340,+350,,,+340,,+375,+375,,,+105,,,,,-130,+250,+205,+220,,,+250,,+205,+205,,,-135,,,,
2024-04-07,BAL at PIT,BAL,PIT,-130,-120,-125,-125,,,-120,,-129,-129,,,-110,,,,,-110,+310,+270,+300,,,+270,,+310,+310,,,-120,,,,
2024-04-07,ARI at ATL,ARI,ATL,+340,+370,+350,+350,,,+370,,+360,+360,,,+155,,,,,+210,+195,+170,+170,,,+195,,+180,+180,,,-190,,,,
2024-04-07,PHI at WSH,PHI,WSH,-125,-148,-150,-150,,,-150,,-148,-148,,,-135,,,,,+330,+400,+350,+350,,,+350,,+400,+400,,,+105,,,,
2024-04-07,NYM at CIN,NYM,CIN,-115,+290,+280,,,,+290,,+280,+280,,,-135,,,,,-115,+320,+310,,,,+310,,+320,+320,,,+105,,,,
2024-04-07,ATH at DET,ATH,DET,+325,+440,+400,+400,,,+440,,+400,+400,,,+130,,,,,+275,+270,+270,+225,,,+270,,+270,+270,,,-160,,,,
2024-04-07,SEA at MIL,SEA,MIL,+285,+330,+275,+275,,,+330,,+295,+295,,,+100,,,,,+295,+300,+250,+250,,,+300,,+265,+265,,,-130,,,,
2024-04-07,CWS at KC,CWS,KC,-125,-125,-125,-125,,,-125,,-130,-130,,,+100,,,,,+300,+300,+275,+280,,,+300,,+275,+275,,,-130,,,,
2024-04-07,MIA at STL,MIA,STL,-135,-115,-120,,,,-120,,-115,-115,,,-105,,,,,+280,+280,+255,,,,+280,,+255,+255,,,-125,,,,
2024-04-07,LAD at CHC,LAD,CHC,-124,-121,-125,-125,,,-125,,-121,-121,,,-105,,,,,+290,+310,+280,+280,,,+310,,+280,+280,,,-125,,,,
2024-04-07,TB at COL,TB,COL,+210,+230,+225,,,,+230,,+225,+225,,,,,,,,+245,+330,+270,,,,+330,,+270,+270,,,,,,,
2024-04-07,SD at SF,SD,SF,+390,+410,+335,+350,,,+410,,+335,+335,,,+110,,,,,+270,+265,+230,+230,,,+240,,+265,+265,,,-140,,,,
2024-04-07,BOS at LAA,BOS,LAA,+295,+310,+240,+240,,,+310,,+290,+290,,,-120,,,,,+285,+320,+280,+280,,,+320,,+310,+310,,,-110,,,,
2024-04-07,HOU at TEX,HOU,TEX,+245,+260,+240,+240,,,+260,,+255,+255,,,-120,,,,,+260,+270,+220,+220,,,+270,,+235,+235,,,-110,,,,
2024-04-08,CWS at CLE,CWS,CLE,-148,-125,-134,-125,,,-135,,-134,-134,,,+150,,,,,+255,+230,+190,+190,,,+210,,+230,+230,,,-180,,,,
2024-04-08,MIA at NYY,MIA,NYY,-127,-132,-135,-135,,,-150,,-132,-132,,,+100,,,,,+245,+300,+230,+230,,,+300,,+250,+250,,,-130,,,,
2024-04-08,DET at PIT,DET,PIT,+325,+380,+320,+320,,,+380,,+340,+340,,,-105,,,,,+310,+320,+285,+300,,,+320,,+285,+285,,,-125,,,,
2024-04-08,MIL at CIN,MIL,CIN,-118,-120,-120,-120,,,-120,,-124,-124,,,-115,,,,,+245,+275,+240,+240,,,+260,,+275,+275,,,-115,,,,
2024-04-08,SEA at TOR,SEA,TOR,-124,-150,-150,-150,,,-150,,-150,-150,,,-115,,,,,+275,+310,+275,+275,,,+290,,+310,+310,,,-115,,,,
2024-04-08,NYM at ATL,NYM,ATL,+102,+100,-103,+100,,,-110,,-103,-103,,,+130,,,,,+185,+195,+175,+175,,,+195,,+185,+185,,,-160,,,,
2024-04-08,LAD at MIN,LAD,MIN,-121,-122,-125,-125,,,-125,,-122,-122,,,-130,,,,,+320,+330,+280,+280,,,+330,,+310,+310,,,+100,,,,
2024-04-08,PHI at STL,PHI,STL,-122,-115,-120,-115,,,-120,,-122,-122,,,-120,,,,,+295,+330,+275,+275,,,+310,,+330,+330,,,-110,,,,
2024-04-08,HOU at TEX,HOU,TEX,+240,+310,+240,+240,,,+310,,+285,+285,,,+105,,,,,+290,+230,+205,+210,,,+230,,+205,+205,,,-135,,,,
2024-04-08,ARI at COL,ARI,COL,+200,+200,+200,+175,,,+200,,+200,+200,,,-145,,,,,+340,+380,+350,+350,,,+380,,+360,+360,,,+115,,,,
2024-04-08,TB at LAA,TB,LAA,+260,+250,+250,+220,,,+250,,+250,+250,,,-130,,,,,+350,+370,+325,+325,,,+370,,+340,+340,,,+100,,,,
2024-04-08,CHC at SD,CHC,SD,-152,-140,-140,-140,,,-140,,-143,-143,,,+110,,,,,+285,+275,+230,+230,,,+270,,+275,+275,,,-140,,,,
2024-04-08,WSH at SF,WSH,SF,-139,-150,-160,-160,,,-150,,-167,-167,,,+150,,,,,+225,+270,+230,+230,,,+240,,+270,+270,,,-180,,,,
