Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,ATL at CWS,ATL,CWS,0.5,+205,-115,-115,,+195,-115,-125,,-134,-134,-115,,-120,,,,,-290,-270,-110,,-270,-110,-102,,-106,-106,-110,,-110,,,,
2024-04-01,COL at CHC,COL,CHC,0.5,+117,+116,+116,,+280,+105,+114,,+116,+116,+105,,+115,,,,,-148,-425,-146,,-425,-135,-146,,-143,-143,-135,,-145,,,,
2024-04-01,PIT at WSH,PIT,WSH,0.5,+220,-110,-110,,+225,-110,-113,,-112,-112,-110,,-115,,,,,-310,-320,-115,,-320,-115,-115,,-112,-112,-115,,-115,,,,
2024-04-01,KC at BAL,KC,BAL,0.5,+250,-105,-105,,+250,-105,-106,,-109,-114,-105,,-115,,,,,-360,-360,-120,,-360,-120,-120,,-114,-109,-120,,-115,,,,
2024-04-01,LAA at MIA,LAA,MIA,0.5,+235,-105,-105,,+220,-105,-122,,-114,-114,-105,,-120,,,,,-340,-310,-120,,-310,-120,-104,,-109,-109,-120,,-110,,,,
2024-04-01,CIN at PHI,CIN,PHI,0.5,+210,-110,+100,,+235,-110,+100,,-110,-110,-110,,-115,,,,,-295,-340,-128,,-340,-115,-128,,-113,-113,-115,,-115,,,,
2024-04-01,TEX at TB,TEX,TB,0.5,+225,-115,-115,,+220,-115,-120,,-117,-117,-115,,-115,,,,,-320,-310,-115,,-310,-110,-106,,-108,-108,-110,,-115,,,,
2024-04-01,DET at NYM,DET,NYM,0.5,+245,+112,+112,,+260,+100,+108,,+112,+112,+100,,+110,,,,,-350,-390,-141,,-390,-130,-138,,-141,-141,-130,,-140,,,,
2024-04-01,TOR at HOU,TOR,HOU,0.5,+210,-125,-125,,+210,-125,-130,,-137,-137,-125,,-125,,,,,-300,-290,-105,,-290,-105,+102,,+112,+112,-105,,-105,,,,
2024-04-01,CLE at SEA,CLE,SEA,0.5,-106,+100,-104,,,+100,-102,,-104,-104,+100,,-115,,,,,-117,-115,-121,,,-125,-125,,-121,-121,-125,,-115,,,,
