Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-01,ATL at CWS,ATL,CWS,-1.5,1.5,+490,+410,+410,,,,+410,,,,,,,,,,,-750,-590,-590,,,,-590,,,,,,,,,,
2024-04-01,COL at CHC,COL,CHC,1.5,-1.5,-900,-850,-850,,,,-850,,,,,,,,,,,+570,+540,+540,,,,+540,,,,,,,,,,
2024-04-01,PIT at WSH,PIT,WSH,1.5,-1.5,-1200,-1400,-1401,,,,-1400,,,,,,,,,,,+680,+760,+760,,,,+760,,,,,,,,,,
2024-04-01,KC at BAL,KC,BAL,1.5,-1.5,-1100,-1200,-1200,,,,-1200,,,,,,,,,,,+650,+710,+710,,,,+710,,,,,,,,,,
2024-04-01,LAA at MIA,LAA,MIA,-1.5,1.5,+730,+650,+650,,,,+650,,,,,,,,,,,-1300,-1100,-1100,,,,-1100,,,,,,,,,,
2024-04-01,CIN at PHI,CIN,PHI,1.5,-1.5,-750,-1200,-1200,,,,-1200,,,,,,,,,,,+490,+680,+680,,,,+680,,,,,,,,,,
2024-04-01,TEX at TB,TEX,TB,1.5,-1.5,-900,-950,-950,,,,-950,,,,,,,,,,,+570,+590,+590,,,,+590,,,,,,,,,,
2024-04-01,DET at NYM,DET,NYM,1.5,-1.5,-1200,-1200,-1200,,,,-1200,,,,,,,,,,,+680,+680,+680,,,,+680,,,,,,,,,,
2024-04-01,TOR at HOU,TOR,HOU,1.5,-1.5,-1000,-900,-900,,,,-900,,,,,,,,,,,+610,+570,+570,,,,+570,,,,,,,,,,
2024-04-01,CLE at SEA,CLE,SEA,-1.5,1.5,+710,+680,+680,,,,+680,,,,,,,,,,,-1250,-1200,-1200,,,,-1200,,,,,,,,,,
2024-04-01,STL at SD,STL,SD,-1.5,1.5,+680,+710,+710,,,,+710,,,,,,,,,,,-1200,-1200,-1200,,,,-1200,,,,,,,,,,
2024-04-01,BOS at ATH,BOS,ATH,-1.5,1.5,+710,+590,+590,,,,+590,,,,,,,,,,,-1250,-950,-950,,,,-950,,,,,,,,,,
2024-04-01,NYY at ARI,NYY,ARI,-1.5,1.5,+520,+520,+520,,,,+520,,,,,,,,,,,-800,-800,-800,,,,-800,,,,,,,,,,
2024-04-01,SF at LAD,SF,LAD,1.5,-1.5,-800,-850,-850,,,,-850,,,,,,,,,,,+520,+540,+540,,,,+540,,,,,,,,,,
2024-04-02,MIN at MIL,MIN,MIL,1.5,-1.5,-1800,-1400,-1401,,,,-1400,,,,,,,,,,,+880,+790,+790,,,,+790,,,,,,,,,,
2024-04-02,KC at BAL,KC,BAL,1.5,-1.5,-800,-950,-950,,,,-950,,,,,,,,,,,+540,+590,+590,,,,+590,,,,,,,,,,
2024-04-02,LAA at MIA,LAA,MIA,1.5,-1.5,-950,-800,-800,,,,-800,,,,,,,,,,,+590,+540,+540,,,,+540,,,,,,,,,,
2024-04-02,CIN at PHI,CIN,PHI,1.5,-1.5,-900,-1200,-1200,,,,-1200,,,,,,,,,,,+570,+680,+680,,,,+680,,,,,,,,,,
2024-04-02,TEX at TB,TEX,TB,1.5,-1.5,-800,-750,-750,,,,-750,,,,,,,,,,,+520,+490,+490,,,,+490,,,,,,,,,,
2024-04-02,COL at CHC,COL,CHC,1.5,-1.5,-1000,-950,-950,,,,-950,,,,,,,,,,,+610,+610,+610,,,,+610,,,,,,,,,,
2024-04-02,ATL at CWS,ATL,CWS,-1.5,1.5,+520,+540,+540,,,,+540,,,,,,,,,,,-800,-850,-850,,,,-850,,,,,,,,,,
2024-04-02,TOR at HOU,TOR,HOU,1.5,-1.5,-800,-950,-950,,,,-950,,,,,,,,,,,+520,+590,+590,,,,+590,,,,,,,,,,
2024-04-02,CLE at SEA,CLE,SEA,1.5,-1.5,-1400,-1600,-1600,,,,-1600,,,,,,,,,,,+760,+820,+820,,,,+820,,,,,,,,,,
2024-04-02,BOS at ATH,BOS,ATH,-1.5,1.5,+630,+570,+570,,,,+570,,,,,,,,,,,-1050,-900,-900,,,,-900,,,,,,,,,,
2024-04-02,STL at SD,STL,SD,1.5,-1.5,-1200,-1100,-1100,,,,-1100,,,,,,,,,,,+680,+650,+650,,,,+650,,,,,,,,,,
2024-04-02,NYY at ARI,NYY,ARI,1.5,-1.5,-1250,-1500,-1499,,,,-1500,,,,,,,,,,,+710,+790,+790,,,,+790,,,,,,,,,,
2024-04-02,SF at LAD,SF,LAD,1.5,-1.5,-1200,-1250,-1250,,,,-1250,,,,,,,,,,,+680,+710,+710,,,,+710,,,,,,,,,,
2024-04-03,KC at BAL,KC,BAL,1.5,-1.5,-1400,-1250,-1250,,,,-1250,,,,,,,,,,,+760,+710,+710,,,,+710,,,,,,,,,,
2024-04-03,MIN at MIL,MIN,MIL,1.5,-1.5,-1300,-1300,-1300,,,,-1300,,,,,,,,,,,+730,+730,+730,,,,+730,,,,,,,,,,
2024-04-03,LAA at MIA,LAA,MIA,-1.5,1.5,+710,+730,+730,,,,+730,,,,,,,,,,,-1250,-1300,-1300,,,,-1300,,,,,,,,,,
2024-04-03,TEX at TB,TEX,TB,1.5,-1.5,-1200,-1300,-1300,,,,-1300,,,,,,,,,,,+680,+710,+710,,,,+710,,,,,,,,,,
2024-04-03,BOS at ATH,BOS,ATH,-1.5,1.5,+610,+680,+680,,,,+680,,,,,,,,,,,-1000,-1200,-1200,,,,-1200,,,,,,,,,,
2024-04-03,NYY at ARI,NYY,ARI,1.5,-1.5,-1500,-1600,-1600,,,,-1600,,,,,,,,,,,+790,+820,+820,,,,+820,,,,,,,,,,
2024-04-03,CIN at PHI,CIN,PHI,1.5,-1.5,-900,-1250,-1250,,,,-1250,,,,,,,,,,,+570,+710,+710,,,,+710,,,,,,,,,,
2024-04-03,CLE at SEA,CLE,SEA,1.5,-1.5,-1050,-1050,-1050,,,,-1050,,,,,,,,,,,+630,+630,+630,,,,+630,,,,,,,,,,
