Date,Matchup,Away,Home,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-01,ATL at CWS,ATL,CWS,-200,-190,-205,,-315,-300,-205,-290,-200,-200,-300,,-190,,,,,+154,+285,+230,,+230,+230,+285,+225,+240,+240,+230,,+155,,,,
2024-04-01,COL at CHC,COL,CHC,+390,+415,+410,,+180,+180,+415,+170,+410,+410,+180,,+140,,,,,-115,-143,-170,,-238,-225,-164,-220,-143,-143,-225,,-170,,,,
2024-04-01,PIT at WSH,PIT,WSH,-115,+128,+105,,+100,+105,+126,+105,+128,+128,+105,,-120,,,,,-115,+118,-130,,-130,-135,+118,-130,+107,+107,-135,,-110,,,,
2024-04-01,KC at BAL,KC,BAL,+124,+165,+130,,+130,+130,+165,+125,+163,+163,+130,,+110,,,,,-160,-110,-140,,-166,-160,-110,-155,-117,-117,-160,,-140,,,,
2024-04-01,LAA at MIA,LAA,MIA,+100,+122,-105,,-110,-105,+122,-105,+108,+108,-105,,-120,,,,,-130,+122,-120,,-120,-120,+122,-115,+120,+120,-120,,-110,,,,
2024-04-01,CIN at PHI,CIN,PHI,+124,+162,+125,,+114,+120,+162,+125,+143,+143,+120,,+100,,,,,-160,-102,-150,,-145,-150,-102,-150,-104,-104,-150,,-130,,,,
2024-04-01,TEX at TB,TEX,TB,+480,+480,+470,,+100,+105,+470,+100,+480,+480,+105,,-110,,,,,-115,+112,-120,,-130,-135,+108,-125,+112,+112,-135,,-120,,,,
2024-04-01,DET at NYM,DET,NYM,+425,+430,+410,,+114,+110,+430,+110,+410,+410,+110,,-105,,,,,-145,+100,-125,,-145,-140,+100,-135,-107,-107,-140,,-125,,,,
2024-04-01,TOR at HOU,TOR,HOU,+525,+500,+500,,+110,+110,+500,+115,+550,+550,+110,,+105,,,,,-150,-110,-140,,-140,-140,-110,-140,-120,-120,-140,,-135,,,,
2024-04-01,CLE at SEA,CLE,SEA,-125,+128,-115,,-125,-115,+120,-115,+128,+128,-115,,-115,,,,,-105,+132,-105,,-105,-110,+132,-105,+108,+108,-110,,-115,,,,
