Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,ATL at CWS,ATL,CWS,5,-118,-134,-115,+100,,-115,-135,,-134,-134,-115,,+100,,,,,-105,-115,-115,-120,,-115,+104,,+100,+100,-115,,-130,,,,
2024-04-01,COL at CHC,COL,CHC,4,-115,-137,-105,-105,,-105,-144,,-137,-137,-105,,-105,,,,,-108,-115,-115,-115,,-125,+110,,+110,+110,-125,,-125,,,,
2024-04-01,PIT at WSH,PIT,WSH,4.5,-112,-105,-113,-105,,-120,-113,,-105,-105,-120,,-115,,,,,-112,-110,-115,-115,,-110,-118,,-120,-120,-110,,-115,,,,
2024-04-01,KC at BAL,KC,BAL,4.5,-109,+105,-103,+105,,-110,-104,,-103,-103,-110,,+100,,,,,-114,-120,-125,-125,,-120,-125,,-122,-122,-120,,-130,,,,
2024-04-01,LAA at MIA,LAA,MIA,4.5,-105,-125,-130,-135,,-125,-130,,-125,-125,-125,,-130,,,,,-120,+115,+102,+115,,-105,+100,,+102,+102,-105,,+100,,,,
2024-04-01,CIN at PHI,CIN,PHI,4.5,-107,+105,+100,+105,,-105,+106,,-104,-104,-105,,+100,,,,,-117,-121,-130,-125,,-125,-138,,-121,-121,-125,,-130,,,,
2024-04-01,TEX at TB,TEX,TB,4.5,-121,-110,-118,-110,,-125,-118,,-124,-124,-125,,-125,,,,,-103,+100,-105,-110,,-105,-110,,+100,+100,-105,,-105,,,,
2024-04-01,DET at NYM,DET,NYM,4,-105,-148,-120,-120,,-125,+106,,-148,+100,-125,,-125,,,,,-115,-125,-105,+100,,-105,-138,,+118,-125,-105,,-105,,,,
2024-04-01,TOR at HOU,TOR,HOU,5,+114,+100,-110,+100,,-110,-140,,+108,+108,-110,,+100,,,,,-141,-137,-115,-120,,-115,+108,,-137,-137,-115,,-130,,,,
2024-04-01,CLE at SEA,CLE,SEA,4.5,+106,+105,+100,+105,,+100,-104,,+100,+100,+100,,-105,,,,,-132,-125,-125,-125,,-130,-125,,-125,-125,-130,,-125,,,,
