Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-01,ATL at CWS,ATL,CWS,-1.5,1.5,+130,-300,-125,-300,-110,-125,-110,-110,-105,-105,-125,,-220,,,,,+340,-105,+180,+240,+470,-105,-118,-115,-130,-130,-105,,+180,,,,
2024-04-01,COL at CHC,COL,CHC,0.5,-0.5,+100,-165,+110,+185,,+110,-156,-165,+112,+112,+110,,+115,,,,,-130,-225,-141,-225,,-145,+120,+130,-141,-141,-145,,-145,,,,
2024-04-01,PIT at WSH,PIT,WSH,0.5,-0.5,+220,-130,+110,+110,+230,-130,-154,+135,-143,-143,-130,,-140,,,,,+210,-170,+110,-130,+190,+100,+118,-170,+112,+112,+100,,+110,,,,
2024-04-01,KC at BAL,KC,BAL,0.5,-0.5,+280,-115,+125,+125,+280,-115,-120,+150,-115,-115,-115,,-120,,,,,+165,-190,-110,-150,+170,-115,-110,-190,-110,-110,-115,,-110,,,,
2024-04-01,LAA at MIA,LAA,MIA,0.5,-0.5,+240,-135,+122,-105,+220,-150,+122,+125,+108,+108,-150,,-135,,,,,+200,-137,+105,-115,+195,+115,-160,-160,-137,-137,+115,,+105,,,,
2024-04-01,CIN at PHI,CIN,PHI,0.5,-0.5,+280,-125,+120,+120,+270,-125,-128,+160,-129,-129,-125,,-130,,,,,+160,-210,-102,-140,+175,-105,-102,-210,+102,+102,-105,,+100,,,,
2024-04-01,TEX at TB,TEX,TB,0.5,-0.5,+210,-140,+110,+110,+135,-140,-140,+135,-150,-150,-140,,-140,,,,,+210,-170,+105,-130,+110,+105,+108,-170,+117,+118,+105,,+110,,,,
2024-04-01,DET at NYM,DET,NYM,0.5,-0.5,+270,-125,+120,+120,+270,-130,-130,+145,-125,-125,-130,,-130,,,,,+175,-185,+100,-140,+190,+100,+100,-185,-103,-103,+100,,+100,,,,
2024-04-01,TOR at HOU,TOR,HOU,0.5,-0.5,+270,-113,+115,+115,+240,-125,-118,+145,-113,-113,-125,,-130,,,,,+160,-185,-105,-135,+170,-105,-110,-185,-113,-113,-105,,+100,,,,
2024-04-01,CLE at SEA,CLE,SEA,-0.5,0.5,+200,-143,+120,-115,+200,+120,+120,-155,-143,-143,+120,,+120,,,,,+230,-150,+114,-105,+230,-155,-154,+125,+114,+114,-155,,-150,,,,
2024-04-01,STL at SD,STL,SD,0.5,-0.5,+180,-145,+100,+100,+210,-145,-146,-150,-152,-152,-145,,-145,,,,,+260,-120,+120,-120,+220,+110,+112,+120,+120,+120,+110,,+115,,,,
2024-04-01,BOS at ATH,BOS,ATH,-0.5,0.5,+180,-185,-105,-140,+165,-105,-114,-185,-103,-103,-105,,-105,,,,,+270,-124,+120,+120,+280,-125,-114,+145,-124,-124,-125,,-125,,,,
2024-04-01,NYY at ARI,NYY,ARI,-0.5,0.5,+190,-160,+105,-120,+180,+105,+108,-160,-104,-104,+105,,+105,,,,,+195,-124,+100,+100,+210,-140,-140,+130,-124,-124,-140,,-135,,,,
2024-04-01,SF at LAD,SF,LAD,0.5,-0.5,+160,-140,+155,+155,+350,+105,+116,-140,+102,+102,+105,,+110,,,,,-190,-185,-129,-185,+124,-140,-152,+115,-129,-129,-140,,-140,,,,
2024-04-02,MIN at MIL,MIN,MIL,0.5,-0.5,+200,-148,+100,+100,+124,-150,-148,+125,-148,-148,-150,,-150,,,,,+210,-155,+114,-120,+114,+115,+114,-155,+116,+116,+115,,+120,,,,
2024-04-02,KC at BAL,KC,BAL,0.5,-0.5,+270,-165,+145,+145,+300,-115,-102,-165,-104,-104,-115,,-105,,,,,+154,-170,-115,-170,+145,-115,-128,+130,-122,-122,-115,,-125,,,,
2024-04-02,LAA at MIA,LAA,MIA,0.5,-0.5,+280,-120,+125,+125,+280,-120,-113,+150,-124,-124,-120,,-125,,,,,+170,-190,-110,-150,+145,-110,-115,-190,-103,-103,-110,,-105,,,,
2024-04-02,CIN at PHI,CIN,PHI,0.5,-0.5,+230,-120,+115,+115,+270,-120,-118,+140,-130,-130,-120,,-130,,,,,+180,-180,+100,-135,+175,-110,-110,-180,+102,+102,-110,,+100,,,,
2024-04-02,TEX at TB,TEX,TB,0.5,-0.5,+260,-190,+135,+135,+300,-105,-110,-190,-115,-115,-105,,-105,,,,,+175,-160,-110,-160,+145,-125,-118,+150,-110,-110,-125,,-125,,,,
2024-04-02,COL at CHC,COL,CHC,0.5,-0.5,+360,-175,+145,+145,+310,-110,-115,-175,-107,-107,-110,,+100,,,,,+150,-170,-113,-170,+145,-120,-113,+140,-120,-120,-120,,-130,,,,
2024-04-02,ATL at CWS,ATL,CWS,-0.5,0.5,+124,-160,-105,-160,+160,-120,-120,+130,-118,-118,-120,,-105,,,,,+350,-170,+135,+135,+270,-110,-108,-170,-108,-108,-110,,-125,,,,
2024-04-02,TOR at HOU,TOR,HOU,0.5,-0.5,+270,-180,+125,+125,+290,-125,-114,-180,-110,-110,-125,,-115,,,,,+165,-150,-105,-150,+145,-105,-114,+145,-115,-115,-105,,-115,,,,
2024-04-02,CLE at SEA,CLE,SEA,0.5,-0.5,+250,-148,-110,-110,+220,-155,-152,+135,-148,-148,-155,,-150,,,,,+210,-165,+120,-110,+230,+120,+116,-165,+117,+117,+120,,+120,,,,
2024-04-02,BOS at ATH,BOS,ATH,-0.5,0.5,+170,-155,+100,-155,+175,-110,-104,+155,+100,+100,-110,,-105,,,,,+290,-200,+130,+130,+270,-120,-122,-200,-132,-132,-120,,-125,,,,
2024-04-02,STL at SD,STL,SD,0.5,-0.5,+270,-110,+130,+130,+310,-110,-118,+150,-136,-136,-110,,-115,,,,,+180,-185,-110,-155,+154,-120,-110,-185,+107,+107,-120,,-115,,,,
2024-04-02,NYY at ARI,NYY,ARI,0.5,-0.5,+230,-140,-105,-105,+210,-145,-148,+125,-141,-141,-145,,-140,,,,,+175,-155,+112,-115,+190,+110,+114,-155,+112,+112,+110,,+110,,,,
2024-04-02,SF at LAD,SF,LAD,0.5,-0.5,+110,-125,+115,+115,+270,-125,-120,+150,-139,-139,-125,,,,,,,-130,-190,-105,-135,+170,-105,-108,-190,+110,+110,-105,,,,,,
2024-04-03,KC at BAL,KC,BAL,0.5,-0.5,-120,-215,+135,+135,+300,-120,-114,-215,-120,-118,-120,,-120,,,,,-108,-160,-107,-160,+175,-110,-114,+165,-107,-108,-110,,-110,,,,
2024-04-03,MIN at MIL,MIN,MIL,-0.5,0.5,+120,-165,+110,-115,+185,+110,+118,-165,+108,+108,+110,,+115,,,,,-156,-137,-105,-105,+230,-145,-154,+135,-137,-137,-145,,-145,,,,
2024-04-03,LAA at MIA,LAA,MIA,0.5,-0.5,-152,-150,-110,-110,+230,-150,-146,+130,-152,-152,-150,,-150,,,,,+116,-160,+115,-110,+190,+115,+112,-160,+120,+120,+115,,+120,,,,
2024-04-03,TEX at TB,TEX,TB,0.5,-0.5,-135,-280,-145,-105,-280,-150,-146,+135,-159,-159,-150,,-145,,,,,+104,-330,-115,-115,-330,+115,+112,-165,+125,+125,+115,,+115,,,,
