Date,Player,Player_Page,Matchup,Team,Position,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,Chris Flexen,/mlb/props/chris-flexen/,ATL at CWS,FA,RP,3.5,-150,-150,+116,,-150,,,,,,,,+116,,,,,+115,-160,-160,,+115,,,,,,,,-160,,,,
2024-04-01,Charlie Morton,/mlb/props/charlie-morton/,ATL at CWS,FA,"SP,RP",1.5,-125,-123,-123,,-125,,,,,,,,-123,,,,,-105,-105,-111,,-105,,,,,,,,-111,,,,
2024-04-01,Dakota Hudson,/mlb/props/dakota-hudson/,COL at CHC,FA,SP,2.5,-120,+105,+100,,+105,,,,,,,,+100,,,,,-110,-135,-135,,-135,,,,,,,,-137,,,,
2024-04-01,Shota Imanaga,/mlb/props/shota-imanaga/,COL at CHC,CHC,SP,1.5,-131,-108,-110,,-110,,,,,,,,-108,,,,,-104,-120,-127,,-120,,,,,,,,-127,,,,
2024-04-01,MacKenzie Gore,/mlb/props/mackenzie-gore/,PIT at WSH,TEX,SP,1.5,-165,-150,-169,,-150,,,,,,,,-169,,,,,+125,+123,+115,,+115,,,,,,,,+123,,,,
2024-04-01,Marco Gonzales,/mlb/props/marco-gonzales/,PIT at WSH,TEX,SP,2.5,-120,-120,-123,,-120,,,,,,,,-123,,,,,-110,-110,-111,,-110,,,,,,,,-111,,,,
2024-04-01,Michael Wacha,/mlb/props/michael-wacha/,KC at BAL,KC,SP,2.5,+115,+110,+108,,+110,,,,,,,,+108,,,,,-150,-145,-148,,-145,,,,,,,,-148,,,,
2024-04-01,Dean Kremer,/mlb/props/dean-kremer/,KC at BAL,BAL,SP,1.5,-135,-135,-135,,-135,,,,,,,,-137,,,,,+105,+105,+100,,+105,,,,,,,,+100,,,,
2024-04-01,Max Meyer,/mlb/props/max-meyer/,LAA at MIA,MIA,SP,1.5,-165,-160,-160,,-160,,,,,,,,-166,,,,,+125,+120,+120,,+120,,,,,,,,+120,,,,
2024-04-01,Chase Silseth,/mlb/props/chase-silseth/,LAA at MIA,LAA,RP,2.5,-115,+110,+108,,+110,,,,,,,,+108,,,,,-115,-145,-148,,-145,,,,,,,,-148,,,,
2024-04-01,Cristopher Sanchez,/mlb/props/cristopher-sanchez/,CIN at PHI,PHI,SP,1.5,-140,-105,-117,,-105,,,,,,,,-117,,,,,+105,-117,-125,,-125,,,,,,,,-117,,,,
2024-04-01,Andrew Abbott,/mlb/props/andrew-abbott/,CIN at PHI,CIN,SP,2.5,-105,+125,+123,,+125,,,,,,,,+123,,,,,-130,-169,-169,,-170,,,,,,,,-169,,,,
2024-04-01,Dane Dunning,/mlb/props/dane-dunning/,TEX at TB,SEA,"SP,RP",2.5,-170,-170,-170,,-170,,,,,,,,+129,,,,,+130,-179,+130,,+130,,,,,,,,-179,,,,
2024-04-01,Ryan Pepiot,/mlb/props/ryan-pepiot/,TEX at TB,TB,SP,2.5,+115,+125,+106,,+125,,,,,,,,+106,,,,,-155,-145,-170,,-170,,,,,,,,-145,,,,
2024-04-01,Reese Olson,/mlb/props/reese-olson/,DET at NYM,DET,SP,1.5,-175,-150,-150,,-150,,,,,,,,-160,,,,,+130,+116,+115,,+115,,,,,,,,+116,,,,
2024-04-01,Sean Manaea,/mlb/props/sean-manaea/,DET at NYM,NYM,"SP,RP",2.5,+130,+120,+110,,+110,,,,,,,,+120,,,,,-170,-145,-145,,-145,,,,,,,,-166,,,,
2024-04-01,Ronel Blanco,/mlb/props/ronel-blanco/,TOR at HOU,HOU,SP,2.5,-110,+110,+106,,+110,,,,,,,,+106,,,,,-120,-145,-145,,-145,,,,,,,,-145,,,,
2024-04-01,Bowden Francis,/mlb/props/bowden-francis/,TOR at HOU,TOR,SP,2.5,-117,-117,-117,,,,,,,,,,-117,,,,,-117,-117,-117,,,,,,,,,,-117,,,,
