Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-01,ATL at CWS,ATL,CWS,-2.5,2.5,-134,-185,-185,-200,-185,-125,-188,-125,-195,-195,-125,,-195,,,,,+112,+105,+143,+165,+154,+105,+155,+100,+143,+143,+105,,+162,,,,
2024-04-01,COL at CHC,COL,CHC,1.5,-1.5,-138,-105,-110,-110,-105,-110,-110,-105,-117,-117,-110,,-105,,,,,+115,-105,-110,-110,-115,-110,-110,-115,-105,-105,-110,,-115,,,,
2024-04-01,PIT at WSH,PIT,WSH,-1.5,1.5,+158,-220,+146,-230,+150,+155,+146,+150,+155,+155,+155,,-220,,,,,-192,-176,-176,+190,-180,-190,-176,-180,-190,-190,-190,,+180,,,,
2024-04-01,KC at BAL,KC,BAL,1.5,-1.5,-170,-145,-155,-155,-155,-150,-150,-145,-159,-159,-150,,-155,,,,,+140,+130,+125,+130,+130,+125,+125,+120,+130,+130,+125,,+130,,,,
2024-04-01,LAA at MIA,LAA,MIA,-1.5,1.5,+158,-220,+150,-220,+154,+150,+158,+160,+150,+150,+150,,-220,,,,,-192,-185,-185,+180,-185,-185,-192,-190,-190,-190,-185,,+180,,,,
2024-04-01,CIN at PHI,CIN,PHI,1.5,-1.5,-164,-160,-165,-165,-162,-165,-164,-175,-180,-180,-165,,-160,,,,,+136,+145,+140,+140,+136,+140,+136,+145,+145,+145,+140,,+135,,,,
2024-04-01,TEX at TB,TEX,TB,1.5,-1.5,+160,-180,-192,-190,-192,-190,-205,-190,-220,-220,-190,,-180,,,,,-194,+170,+160,+160,+160,+155,+168,+160,+170,+170,+155,,+152,,,,
2024-04-01,DET at NYM,DET,NYM,1.5,-1.5,-184,-180,-190,-185,-185,-190,-192,-180,-200,-200,-190,,-190,,,,,+152,+160,+155,+155,+154,+155,+158,+150,+160,+160,+155,,+158,,,,
2024-04-01,TOR at HOU,TOR,HOU,1.5,-1.5,-160,-164,-166,-170,-166,-165,-164,-175,-165,-165,-165,,-170,,,,,+130,+145,+140,+145,+140,+135,+136,+145,+135,+135,+135,,+143,,,,
2024-04-01,CLE at SEA,CLE,SEA,-1.5,1.5,+146,+150,+146,+150,+145,+150,+146,+145,+150,+150,+150,,+143,,,,,-178,-170,-178,-180,-175,-185,-178,-175,-190,-190,-185,,-170,,,,
2024-04-01,STL at SD,STL,SD,1.5,-1.5,+140,-194,-194,-200,-205,-210,-194,-200,+165,+165,-210,,-195,,,,,-170,-215,+160,+165,+170,+160,+160,+165,-215,-215,+160,,+162,,,,
2024-04-01,BOS at ATH,BOS,ATH,-1.5,1.5,+126,+115,+105,+105,+102,+105,-102,+105,+115,+115,+105,,+105,,,,,-152,-118,-125,-125,-122,-130,-118,-125,-139,-139,-130,,-125,,,,
2024-04-01,NYY at ARI,NYY,ARI,-1.5,1.5,+130,+135,+130,+130,+130,+135,+132,+130,+120,+120,+135,,+130,,,,,-160,-148,-155,-155,-155,-160,-160,-150,-148,-148,-160,,-155,,,,
2024-04-01,SF at LAD,SF,LAD,1.5,-1.5,-114,-105,-110,-105,-105,-115,-114,-105,-113,-113,-115,,-110,,,,,-105,-105,-110,-115,-115,-105,-105,-115,-108,-108,-105,,-110,,,,
2024-04-02,MIN at MIL,MIN,MIL,1.5,-1.5,+158,-210,+143,-210,+164,-210,+164,+165,+163,+163,-210,,+143,,,,,-192,-170,-170,+175,-198,+155,-200,-200,-210,-210,+155,,-170,,,,
2024-04-02,KC at BAL,KC,BAL,1.5,-1.5,-146,-138,-145,-140,-142,-150,-138,-145,-155,-155,-150,,-140,,,,,+122,+128,+120,+120,+120,+125,+115,+125,+128,+128,+125,,+118,,,,
2024-04-02,LAA at MIA,LAA,MIA,1.5,-1.5,-178,-164,-166,-165,-166,-165,-164,-175,-180,-180,-165,,-165,,,,,+146,+148,+140,+140,+140,+135,+136,+145,+148,+148,+135,,+140,,,,
2024-04-02,CIN at PHI,CIN,PHI,1.5,-1.5,-164,-165,-170,-165,-170,-165,-172,-175,-186,-186,-165,,-165,,,,,+136,+150,+142,+140,+142,+140,+142,+145,+150,+150,+140,,+140,,,,
2024-04-02,TEX at TB,TEX,TB,1.5,-1.5,-166,-150,-160,-160,-155,-150,-160,-150,-175,-175,-150,,-160,,,,,+138,+140,+132,+135,+130,+125,+132,+130,+140,+140,+125,,+135,,,,
2024-04-02,COL at CHC,COL,CHC,1.5,-1.5,-150,-130,-135,-130,-130,-135,-137,-130,-141,-141,-135,,-135,,,,,+125,+116,+114,+110,+110,+110,+114,+110,+116,+116,+110,,+115,,,,
2024-04-02,ATL at CWS,ATL,CWS,-1.5,1.5,-128,-115,-118,-115,-115,-115,-118,-125,-115,-115,-115,,-115,,,,,+106,+105,-102,-105,-105,-105,-102,+105,-106,-106,-105,,-105,,,,
