Date,Player,Player_Page,Matchup,Team,Position,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,Chris Flexen,/mlb/props/chris-flexen/,ATL at CWS,FA,RP,3.5,-150,-108,-110,,-110,,-108,,-125,-125,,,,,,,,+120,-106,-115,,-115,,-118,,-106,-106,,,,,,,
2024-04-01,Charlie Morton,/mlb/props/charlie-morton/,ATL at CWS,FA,"SP,RP",6.5,-146,+125,+124,,+125,,+124,,+118,+118,,,,,,,,+114,-158,-159,,-160,,-158,,-159,-159,,,,,,,
2024-04-01,Shota Imanaga,/mlb/props/shota-imanaga/,COL at CHC,CHC,SP,5.5,+104,-140,-150,,-150,,-140,,-159,-159,,,,,,,,-134,+120,+118,,+120,,+110,,+118,+118,,,,,,,
2024-04-01,Dakota Hudson,/mlb/props/dakota-hudson/,COL at CHC,FA,SP,3.5,-175,-155,+135,,-155,,+144,,+135,+135,,,,,,,,+140,-182,-182,,+120,,-186,,-182,-182,,,,,,,
2024-04-01,MacKenzie Gore,/mlb/props/mackenzie-gore/,PIT at WSH,TEX,SP,5.5,-110,-140,-140,,-140,,-140,,-150,-150,,,,,,,,-116,+114,+110,,+110,,+110,,+114,+114,,,,,,,
2024-04-01,Marco Gonzales,/mlb/props/marco-gonzales/,PIT at WSH,TEX,SP,3.5,-111,+120,+107,,+120,,+106,,+107,+107,,,,,,,,-115,-136,-141,,-155,,-136,,-141,-141,,,,,,,
2024-04-01,Michael Wacha,/mlb/props/michael-wacha/,KC at BAL,KC,SP,4.5,-132,-115,-120,,-115,,-122,,-120,-120,,,,,,,,+104,-104,-110,,-110,,-104,,-112,-112,,,,,,,
2024-04-01,Dean Kremer,/mlb/props/dean-kremer/,KC at BAL,BAL,SP,4.5,-134,-120,-120,,-120,,-122,,-120,-120,,,,,,,,+106,-105,-106,,-105,,-106,,-112,-112,,,,,,,
2024-04-01,Max Meyer,/mlb/props/max-meyer/,LAA at MIA,MIA,SP,4.5,+120,-122,-137,,-145,,-122,,-137,-137,,,,,,,,-152,+115,+104,,+115,,-104,,+104,+104,,,,,,,
2024-04-01,Chase Silseth,/mlb/props/chase-silseth/,LAA at MIA,LAA,RP,4.5,-118,-111,-117,,-130,,-111,,-117,-117,,,,,,,,-108,+100,-114,,+100,,-115,,-114,-114,,,,,,,
2024-04-01,Cristopher Sanchez,/mlb/props/cristopher-sanchez/,CIN at PHI,PHI,SP,5.5,+110,+112,+110,,+110,,+112,,+104,+104,,,,,,,,-140,-137,-140,,-140,,-142,,-137,-137,,,,,,,
2024-04-01,Andrew Abbott,/mlb/props/andrew-abbott/,CIN at PHI,CIN,SP,5.5,-108,-122,-125,,-140,,-125,,-122,-122,,,,,,,,-120,+110,-102,,+110,,-102,,-108,-108,,,,,,,
2024-04-01,Dane Dunning,/mlb/props/dane-dunning/,TEX at TB,SEA,"SP,RP",4.5,-142,-120,-120,,-120,,-122,,-120,-120,,,,,,,,+112,-104,-105,,-105,,-104,,-112,-112,,,,,,,
2024-04-01,Ryan Pepiot,/mlb/props/ryan-pepiot/,TEX at TB,TB,SP,5.5,-126,+100,-106,,-110,,-106,,-103,+100,,,,,,,,-102,-115,-120,,-115,,-120,,-130,-134,,,,,,,
2024-04-01,Sean Manaea,/mlb/props/sean-manaea/,DET at NYM,NYM,"SP,RP",4.5,+124,-165,+105,,+105,,+120,,-165,-165,,,,,,,,-158,-130,-130,,-130,,-152,,+123,+123,,,,,,,
2024-04-01,Reese Olson,/mlb/props/reese-olson/,DET at NYM,DET,SP,5.5,+114,+102,-105,,-105,,-111,,+102,+102,,,,,,,,-146,-115,-120,,-120,,-115,,-136,-136,,,,,,,
2024-04-01,Ronel Blanco,/mlb/props/ronel-blanco/,TOR at HOU,HOU,SP,4.5,-110,+116,+115,,+110,,+116,,+115,+115,,,,,,,,-116,-135,-148,,-135,,-148,,-152,-152,,,,,,,
2024-04-01,Bowden Francis,/mlb/props/bowden-francis/,TOR at HOU,TOR,SP,4.5,+124,+130,+125,,+125,,+130,,+114,+114,,,,,,,,-158,-152,-160,,-160,,-166,,-152,-152,,,,,,,
2024-04-01,Emerson Hancock,/mlb/props/emerson-hancock/,CLE at SEA,SEA,"SP,RP",3.5,-144,-155,-155,,-155,,-172,,+155,+155,,,,,,,,+112,-210,+120,,+120,,+134,,-210,-210,,,,,,,
2024-04-01,Triston McKenzie,/mlb/props/triston-mckenzie-p/,CLE at SEA,SD,"SP,RP",5.5,-162,-155,+130,,+135,,+130,,-155,-155,,,,,,,,+126,-166,-166,,-170,,-166,,+116,+116,,,,,,,
2024-04-01,Matt Waldron,/mlb/props/matt-waldron/,STL at SD,SD,SP,3.5,-142,-136,-152,,-155,,-152,,-136,-136,,,,,,,,+112,+120,+120,,+120,,+120,,+102,+102,,,,,,,
2024-04-01,Kyle Gibson,/mlb/props/kyle-gibson/,STL at SD,FA,SP,3.5,-150,-148,-150,,-160,,-150,,-148,-148,,,,,,,,+118,+125,+118,,+125,,+118,,+110,+110,,,,,,,
2024-04-01,Tanner Houck,/mlb/props/tanner-houck/,BOS at ATH,BOS,SP,5.5,-120,-130,-130,,-130,,-130,,-136,-136,,,,,,,,-106,+105,+102,,+105,,+102,,+102,+102,,,,,,,
2024-04-01,Joe Boyle,/mlb/props/joe-boyle/,BOS at ATH,TB,"SP,RP",5.5,-125,+120,+112,,+110,,+120,,+112,+112,,,,,,,,+100,-140,-150,,-140,,-154,,-150,-150,,,,,,,
2024-04-01,Luis Gil,/mlb/props/luis-gil/,NYY at ARI,NYY,SP,4.5,+116,-150,-150,,+125,,-150,,-155,-155,,,,,,,,-148,-155,+115,,-155,,+118,,+115,+115,,,,,,,
2024-04-01,Ryne Nelson,/mlb/props/ryne-nelson/,NYY at ARI,ARI,"SP,RP",3.5,-140,-122,-140,,-140,,-122,,-143,-143,,,,,,,,+110,+110,+108,,+110,,-104,,+108,+108,,,,,,,
2024-04-01,Keaton Winn,/mlb/props/keaton-winn/,SF at LAD,SF,"SP,RP",4.5,-170,-140,+108,,-140,,+126,,+108,+108,,,,,,,,+130,-143,-143,,+110,,-162,,-143,-143,,,,,,,
2024-04-01,James Paxton,/mlb/props/james-paxton/,SF at LAD,FA,SP,5.5,+115,+110,+104,,+110,,+104,,+102,+102,,,,,,,,-150,-132,-136,,-140,,-132,,-136,-136,,,,,,,
2024-04-02,Louis Varland,/mlb/props/louie-varland/,MIN at MIL,TOR,RP,5.5,-154,+125,+120,,+125,,+120,,+108,+108,,,,,,,,+120,-143,-154,,-160,,-154,,-143,-143,,,,,,,
2024-04-02,Jakob Junis,/mlb/props/jake-junis/,MIN at MIL,TEX,RP,4.5,-130,-116,-120,,-125,,-116,,-120,-120,,,,,,,,+102,+100,-110,,+100,,-110,,-112,-112,,,,,,,
2024-04-02,Cole Irvin,/mlb/props/cole-irvin/,KC at BAL,LAD,"SP,RP",4.5,-160,+100,-105,,-105,,+100,,-108,-108,,,,,,,,+126,-120,-124,,-120,,-128,,-124,-124,,,,,,,
2024-04-02,Alec Marsh,/mlb/props/alec-marsh/,KC at BAL,KC,SP,4.5,-118,-113,-115,,-115,,-113,,-117,-117,,,,,,,,-108,-110,-113,,-110,,-113,,-114,-114,,,,,,,
2024-04-02,Tyler Anderson,/mlb/props/tyler-anderson/,LAA at MIA,FA,SP,4.5,-105,+134,+130,,+130,,+134,,+108,+108,,,,,,,,-120,-143,-160,,-160,,-172,,-143,-143,,,,,,,
2024-04-02,Jesus Luzardo,/mlb/props/jesus-luzardo/,LAA at MIA,PHI,SP,6.5,-120,-104,-115,,-115,,-104,,-122,-122,,,,,,,,-105,-109,-110,,-110,,-122,,-109,-109,,,,,,,
2024-04-02,Spencer Turnbull,/mlb/props/spencer-turnbull/,CIN at PHI,FA,"SP,RP",4.5,-132,-132,-145,,-145,,-132,,-152,-152,,,,,,,,+104,+115,+115,,+115,,+104,,+115,+115,,,,,,,
2024-04-02,Graham Ashcraft,/mlb/props/graham-ashcraft/,CIN at PHI,CIN,RP,4.5,-130,-157,-157,,+135,,-160,,-157,-157,,,,,,,,+102,-175,+117,,-175,,+124,,+117,+117,,,,,,,
2024-04-02,Andrew Heaney,/mlb/props/andrew-heaney/,TEX at TB,FA,SP,3.5,-170,-162,-162,,-170,,+116,,-162,-162,,,,,,,,+135,-148,+120,,+135,,-148,,+120,+120,,,,,,,
2024-04-02,Zach Eflin,/mlb/props/zach-eflin/,TEX at TB,BAL,SP,5.5,-105,+105,+104,,-110,,+104,,+105,+105,,,,,,,,-125,-110,-134,,-110,,-134,,-139,-139,,,,,,,
2024-04-02,Javier Assad,/mlb/props/javier-assad/,COL at CHC,CHC,"SP,RP",4.5,-132,-106,-117,,-140,,-106,,-117,-117,,,,,,,,+104,+110,-114,,+110,,-122,,-114,-114,,,,,,,
2024-04-02,Kyle Freeland,/mlb/props/kyle-freeland/,COL at CHC,COL,SP,3.5,-120,+115,+114,,+115,,+100,,+114,+114,,,,,,,,-106,-128,-145,,-145,,-128,,-152,-152,,,,,,,
2024-04-02,Reynaldo Lopez,/mlb/props/reynaldo-lopez/,ATL at CWS,ATL,"SP,RP",4.5,-125,-106,-125,,-125,,,,-106,-106,,,,,,,,+100,+100,+100,,+100,,,,-127,-127,,,,,,,
2024-04-02,Garrett Crochet,/mlb/props/garrett-crochet-p/,ATL at CWS,BOS,SP,5.5,-155,-145,+118,,-145,,+118,,+118,+118,,,,,,,,+120,-150,-150,,+115,,-150,,-159,-159,,,,,,,
2024-04-02,Framber Valdez,/mlb/props/framber-valdez/,TOR at HOU,DET,SP,4.5,-115,-157,-157,,+115,,-166,,-157,-157,,,,,,,,-110,-150,+118,,-150,,+130,,+118,+118,,,,,,,
2024-04-02,Jose Berrios,/mlb/props/jose-berrios/,TOR at HOU,TOR,SP,4.5,-165,-135,-135,,-135,,+134,,-148,-148,,,,,,,,+130,-172,+105,,+105,,-172,,+112,+112,,,,,,,
2024-04-02,Luis Castillo,/mlb/props/luis-castillo/,CLE at SEA,SEA,SP,5.5,-135,+115,+106,,+115,,+104,,+106,+106,,,,,,,,+105,-132,-141,,-155,,-132,,-141,-141,,,,,,,
2024-04-02,Shane Bieber,/mlb/props/shane-bieber/,CLE at SEA,TOR,SP,6.5,-120,-128,-130,,-130,,-128,,-134,-134,,,,,,,,-105,+102,+100,,+100,,+100,,+102,+102,,,,,,,
2024-04-02,Alex Wood,/mlb/props/alex-wood/,BOS at ATH,FA,"SP,RP",4.5,+115,+104,-105,,-105,,+104,,-106,-106,,,,,,,,-145,-120,-127,,-120,,-132,,-127,-127,,,,,,,
2024-04-02,Brayan Bello,/mlb/props/brayan-bello/,BOS at ATH,BOS,SP,5.5,-146,-128,-130,,-130,,-128,,-130,-130,,,,,,,,+114,+100,+100,,+100,,+100,,-103,-103,,,,,,,
2024-04-02,Yu Darvish,/mlb/props/yu-darvish/,STL at SD,SD,SP,5.5,+105,-148,-148,,+145,,-154,,-148,-148,,,,,,,,-135,-195,+110,,-195,,+120,,+110,+110,,,,,,,
2024-04-02,Miles Mikolas,/mlb/props/miles-mikolas/,STL at SD,WSH,"SP,RP",3.5,-135,-104,-120,,-120,,-104,,-124,-124,,,,,,,,+105,-105,-108,,-105,,-122,,-108,-108,,,,,,,
2024-04-02,Zac Gallen,/mlb/props/zac-gallen/,NYY at ARI,ARI,SP,5.5,-160,+100,-108,,+100,,-108,,-110,-110,,,,,,,,+126,-118,-121,,-130,,-118,,-121,-121,,,,,,,
2024-04-02,Nestor Cortes Jr.,/mlb/props/nestor-cortes/,NYY at ARI,FA,SP,4.5,-132,-143,-146,,-150,,-146,,-143,-143,,,,,,,,+106,+115,+114,,+115,,+114,,+108,+108,,,,,,,
2024-04-02,Logan Webb,/mlb/props/logan-webb/,SF at LAD,SF,SP,5.5,-135,+105,+102,,+105,,+102,,-113,-113,,,,,,,,+110,-118,-130,,-135,,-130,,-118,-118,,,,,,,
2024-04-03,Corbin Burnes,/mlb/props/corbin-burnes/,KC at BAL,ARI,SP,6.5,-104,+105,-112,,+105,,-116,,-112,-113,,,,,,,,-122,-110,-120,,-130,,-110,,-120,-118,,,,,,,
2024-04-03,Cole Ragans,/mlb/props/cole-ragans/,KC at BAL,KC,SP,6.5,+104,+108,-105,,-105,,-108,,+108,+108,,,,,,,,-132,-118,-125,,-125,,-118,,-143,-143,,,,,,,
