Date,Matchup,Away,Home,Team,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,ATL at CWS,ATL,CWS,CWS,2.5,-150,-135,-135,,-135,,-154,-150,-143,-143,,,+250,,,,,+120,+120,+105,,+105,,+120,+120,+116,+116,,,-650,,,,
2024-04-01,ATL at CWS,ATL,CWS,ATL,5.5,+110,-115,-120,,-135,,-115,-120,-134,-134,,,,,,,,-140,+105,-110,,+105,,-111,-110,-110,-110,,,,,,,
2024-04-01,COL at CHC,COL,CHC,CHC,4.5,+114,+108,+106,,+100,,+108,+100,+106,+106,,,,,,,,-141,-130,-132,,-130,,-138,-130,-132,-132,,,,,,,
2024-04-01,COL at CHC,COL,CHC,COL,2.5,-136,-115,-118,,-115,,-120,-120,-118,-118,,,,,,,,+110,-105,-106,,-115,,-106,-105,-105,-105,,,,,,,
2024-04-01,PIT at WSH,PIT,WSH,WSH,4.5,-145,-140,-140,,-140,,-140,-140,+114,+114,,,,,,,,+115,-141,+110,,+110,,+110,+110,-141,-141,,,,,,,
2024-04-01,PIT at WSH,PIT,WSH,PIT,4.5,+110,+116,+112,,+114,,+112,+110,+116,+116,,,,,,,,-140,-140,-142,,-145,,-142,-140,-143,-143,,,,,,,
2024-04-01,KC at BAL,KC,BAL,BAL,4.5,-105,+105,+102,,+100,,+102,+105,+102,+102,,,,,,,,-125,-125,-130,,-130,,-130,-135,-125,-125,,,,,,,
2024-04-01,KC at BAL,KC,BAL,KC,3.5,-115,-105,-105,,-115,,-113,-105,-108,-108,,,+500,,,,,-115,-113,-125,,-115,,-113,-125,-115,-115,,,-500,,,,
2024-04-01,LAA at MIA,LAA,MIA,LAA,4.5,+110,+104,+104,,+100,,+104,+100,+102,+102,,,+480,,,,,-140,-125,-132,,-130,,-132,-130,-125,-125,,,-162,,,,
2024-04-01,LAA at MIA,LAA,MIA,MIA,4.5,-135,-145,+110,,+110,,+114,-145,+112,+112,,,+150,,,,,+105,-139,+115,,-140,,-146,+115,-139,-139,,,+220,,,,
2024-04-01,CIN at PHI,CIN,PHI,PHI,4.5,+100,+116,+112,,+110,,+116,+110,+112,+112,,,,,,,,-130,-139,-140,,-140,,-148,-140,-139,-139,,,,,,,
2024-04-01,CIN at PHI,CIN,PHI,CIN,3.5,-110,-113,-113,,-120,,-113,-120,-117,-117,,,+320,,,,,-120,-105,-105,,-110,,-113,-105,-107,-107,,,+130,,,,
2024-04-01,TEX at TB,TEX,TB,TEX,3.5,-140,-135,-135,,-140,,-142,-135,-143,-143,,,+450,,,,,+110,+116,+105,,+110,,+112,+105,+116,+116,,,-150,,,,
2024-04-01,TEX at TB,TEX,TB,TB,4.5,+115,+114,+112,,+114,,+112,+105,+112,+112,,,,,,,,-145,-135,-139,,-145,,-142,-135,-139,-139,,,,,,,
2024-04-01,DET at NYM,DET,NYM,DET,3.5,-105,+110,+102,,+100,,+102,+110,+100,+100,,,,,,,,-125,-122,-130,,-130,,-130,-140,-122,-122,,,,,,,
2024-04-01,DET at NYM,DET,NYM,NYM,3.5,-140,-125,-125,,-125,,-132,-125,-125,-125,,,,,,,,+110,+104,+102,,-105,,+104,-105,+102,+102,,,,,,,
2024-04-01,TOR at HOU,TOR,HOU,TOR,4.5,-145,-135,-135,,+110,,-146,-135,+110,+110,,,,,,,,+115,-137,+105,,-140,,+114,+105,-137,-137,,,,,,,
2024-04-01,TOR at HOU,TOR,HOU,HOU,4.5,-130,-120,-125,,-120,,-120,-125,-125,-125,,,,,,,,+100,+100,-105,,-110,,-106,-105,+100,+100,,,,,,,
2024-04-01,CLE at SEA,CLE,SEA,SEA,3.5,-105,-120,-132,,-120,,-122,-120,-132,-132,,,-182,,,,,-125,+106,-110,,-110,,-104,-110,+106,+106,,,-2000,,,,
2024-04-01,CLE at SEA,CLE,SEA,CLE,3.5,-125,-135,-135,,-145,,-138,-135,-137,-137,,,+275,,,,,-105,+114,+112,,+114,,+108,+105,+112,+112,,,+115,,,,
2024-04-01,STL at SD,STL,SD,SD,3.5,-120,-130,-140,,-140,,-154,-135,-130,-130,,,,,,,,-110,+120,+110,,+110,,+120,+105,+105,+105,,,,,,,
2024-04-01,STL at SD,STL,SD,STL,3.5,-145,-125,-130,,-135,,-138,-125,-130,-130,,,,,,,,+115,+108,+105,,+105,,+108,-105,+105,+105,,,,,,,
2024-04-01,BOS at ATH,BOS,ATH,OAK,3.5,-105,+100,+100,,+100,,-104,-105,-110,-110,,,+850,,,,,-125,-113,-122,,-130,,-122,-125,-113,-113,,,-118,,,,
2024-04-01,BOS at ATH,BOS,ATH,BOS,4.5,+110,-104,-113,,-120,,-113,-115,-104,-104,,,,,,,,-140,-110,-115,,-110,,-113,-115,-121,-121,,,,,,,
2024-04-01,NYY at ARI,NYY,ARI,ARI,4.5,-105,+102,-105,,-105,,-111,-105,+102,+102,,,-110,,,,,-125,-115,-127,,-125,,-115,-125,-127,-127,,,-550,,,,
2024-04-01,NYY at ARI,NYY,ARI,NYY,4.5,-130,-130,-130,,-135,,-148,-130,+112,-136,,,,,,,,+100,-139,+100,,+105,,+116,+100,-139,+110,,,,,,,
2024-04-01,SF at LAD,SF,LAD,LAD,4.5,-114,-132,-135,,-135,,-136,-135,-132,-132,,,,,,,,-109,+107,+106,,+105,,+106,+105,+107,+107,,,,,,,
2024-04-01,SF at LAD,SF,LAD,SF,3.5,+108,+110,+100,,+110,,-104,+100,+110,+110,,,,,,,,-136,-122,-130,,-140,,-122,-130,-136,-136,,,,,,,
2024-04-02,MIN at MIL,MIN,MIL,MIL,4.5,+120,+115,+115,,+110,,+112,+115,+114,+114,,,+125,,,,,-150,-140,-140,,-140,,-142,-145,-141,-141,,,+110,,,,
2024-04-02,MIN at MIL,MIN,MIL,MIN,4.5,-140,-140,+110,,+110,,+114,-140,+115,+115,,,,,,,,+110,-140,-140,,-140,,-146,+110,-143,-143,,,,,,,
2024-04-02,KC at BAL,KC,BAL,KC,3.5,-120,-110,-110,,-115,,-120,-110,-117,-117,,,+450,,,,,-110,-106,-106,,-115,,-106,-120,-107,-107,,,+145,,,,
2024-04-02,KC at BAL,KC,BAL,BAL,4.5,-125,-105,-109,,-110,,-111,-105,-109,-109,,,,,,,,-105,-113,-120,,-120,,-115,-125,-113,-113,,,,,,,
2024-04-02,LAA at MIA,LAA,MIA,LAA,3.5,-120,-140,-148,,-140,,-148,-145,-141,-141,,,-400,,,,,-110,+116,+110,,+110,,+116,+115,+114,+114,,,-275,,,,
2024-04-02,LAA at MIA,LAA,MIA,MIA,4.5,+110,-108,-110,,-110,,-120,-115,-108,-108,,,+100,,,,,-140,-106,-120,,-120,,-106,-115,-114,-114,,,-550,,,,
2024-04-02,CIN at PHI,CIN,PHI,PHI,4.5,-105,+114,+112,,+110,,+114,+110,+112,+112,,,,,,,,-125,-139,-140,,-140,,-146,-140,-139,-139,,,,,,,
2024-04-02,CIN at PHI,CIN,PHI,CIN,3.5,-140,-115,-115,,-120,,-122,-115,-121,-121,,,+175,,,,,+110,-104,-115,,-110,,-104,-115,-104,-104,,,-650,,,,
2024-04-02,TEX at TB,TEX,TB,TEX,3.5,-115,-115,-115,,-115,,-120,-125,-122,-122,,,+175,,,,,-115,+100,+100,,-115,,-106,-105,+100,+100,,,+270,,,,
2024-04-02,TEX at TB,TEX,TB,TB,4.5,+105,+100,+100,,+100,,+100,-105,+100,+100,,,,,,,,-135,-124,-128,,-130,,-128,-125,-124,-124,,,,,,,
2024-04-02,COL at CHC,COL,CHC,COL,3.5,+135,-105,-112,,-115,,-115,-105,-112,-112,,,,,,,,-170,-111,-115,,-115,,-111,-125,-112,-112,,,,,,,
2024-04-02,COL at CHC,COL,CHC,CHC,4.5,+110,-115,-118,,-120,,-115,-120,-118,-118,,,,,,,,-140,-105,-110,,-110,,-111,-110,-105,-105,,,,,,,
2024-04-02,ATL at CWS,ATL,CWS,CWS,3.5,+110,+100,+100,,-110,,-115,+100,-113,-113,,,+145,,,,,-140,-110,-110,,-120,,-111,-130,-110,-110,,,+125,,,,
2024-04-02,ATL at CWS,ATL,CWS,ATL,5.5,+100,-154,-110,,+100,,-154,-110,+110,+110,,,,,,,,-130,-120,-120,,-130,,+120,-120,-137,-137,,,,,,,
2024-04-02,TOR at HOU,TOR,HOU,HOU,4.5,-110,+102,+100,,+100,,-106,+100,+102,+102,,,,,,,,-120,-120,-127,,-130,,-120,-130,-127,-127,,,,,,,
2024-04-02,TOR at HOU,TOR,HOU,TOR,3.5,-125,-115,-120,,-130,,-130,-120,-115,-115,,,,,,,,-105,+102,-107,,+100,,+102,-110,-107,-107,,,,,,,
