Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,ATL at CWS,ATL,CWS,9,-105,-105,-105,-105,-105,-115,-105,+115,-114,-114,-115,,-110,,,,,-115,-135,-115,-115,-115,-105,-115,-135,-115,-115,-105,,-110,,,,
2024-04-01,COL at CHC,COL,CHC,7,-105,-115,-115,-120,-118,-120,-115,+100,-125,-125,-120,,-115,,,,,-115,-120,-105,+100,-102,+100,-105,-120,+104,+104,+100,,-105,,,,
2024-04-01,PIT at WSH,PIT,WSH,8.5,-105,-105,-108,-105,-108,-115,-105,-110,-105,-105,-115,,-110,,,,,-115,-105,-112,-115,-112,-105,-115,-110,-117,-117,-105,,-110,,,,
2024-04-01,KC at BAL,KC,BAL,8,+105,-115,-115,-120,-118,-120,-115,+105,-115,-115,-120,,-120,,,,,-125,-125,-105,+100,-102,+100,-105,-125,-106,-106,+100,,+100,,,,
2024-04-01,LAA at MIA,LAA,MIA,9,+100,-115,-102,+100,-102,+100,-122,-115,+102,+102,+100,,-115,,,,,-120,-105,-118,-120,-118,-120,+100,-105,-122,-122,-120,,-105,,,,
2024-04-01,CIN at PHI,CIN,PHI,8,+100,-106,-114,-115,-115,-115,-106,+105,-114,-114,-115,,-115,,,,,-120,-125,-106,-105,-105,-105,-114,-125,-106,-106,-105,,-105,,,,
2024-04-01,TEX at TB,TEX,TB,8.5,-115,-105,-110,-105,-108,-110,-105,-120,-113,-113,-110,,-110,,,,,-105,+100,-110,-115,-112,-110,-115,+100,-107,-107,-110,,-110,,,,
2024-04-01,DET at NYM,DET,NYM,7.5,-115,+110,+100,+100,+100,+100,+100,+110,+100,+100,+100,,+110,,,,,-105,-120,-122,-120,-120,-130,-122,-130,-120,-120,-130,,-130,,,,
2024-04-01,TOR at HOU,TOR,HOU,9,+100,-135,-118,-115,-118,-115,-114,-135,-118,-118,-115,,-110,,,,,-122,-102,-102,-105,-102,-105,-106,+115,-104,-104,-105,,-110,,,,
2024-04-01,CLE at SEA,CLE,SEA,8,-105,-122,-109,-105,-105,-105,-122,-125,-109,-109,-105,,-105,,,,,-115,-110,-110,-115,-115,-115,+100,+105,-110,-110,-115,,-115,,,,
2024-04-01,STL at SD,STL,SD,8,-115,-130,-112,-110,-112,-110,-114,-130,-104,-104,-110,,-110,,,,,-105,-106,-106,-110,-108,-110,-106,+110,-117,-117,-110,,-110,,,,
2024-04-01,BOS at ATH,BOS,ATH,8.5,-115,-120,-110,-110,-105,-110,-104,-110,-120,-120,-110,,-110,,,,,-105,-110,-110,-110,-115,-110,-118,-110,-103,-103,-110,,-110,,,,
2024-04-01,NYY at ARI,NYY,ARI,10,-110,-110,-114,-115,-115,-105,-120,-115,-114,-114,-105,,-110,,,,,-110,-115,-106,-105,-105,-115,-102,-105,-106,-106,-115,,-110,,,,
2024-04-01,SF at LAD,SF,LAD,8.5,-115,-105,-110,-115,-110,-105,-118,-110,-109,-109,-105,,-115,,,,,-105,-104,-110,-105,-110,-115,-104,-110,-110,-110,-115,,-105,,,,
2024-04-02,MIN at MIL,MIN,MIL,8.5,-105,-110,-115,-115,-112,-115,-118,-115,-112,-112,-115,,-110,,,,,-115,-104,-105,-105,-108,-105,-104,-105,-108,-108,-105,,-110,,,,
2024-04-02,KC at BAL,KC,BAL,8.5,-125,-105,-108,-105,-108,-105,-112,-105,-110,-110,-105,,-105,,,,,+105,-115,-112,-115,-112,-115,-108,-115,-110,-110,-115,,-115,,,,
2024-04-02,LAA at MIA,LAA,MIA,9,-120,-120,-103,-105,-102,-105,-108,+115,-103,-103,-105,,-120,,,,,+100,-135,-115,-115,-118,-115,-112,-135,-118,-118,-115,,+100,,,,
2024-04-02,CIN at PHI,CIN,PHI,8,-110,-114,-114,-120,-115,-115,-114,+105,-115,-115,-115,,+100,,,,,-110,-120,-106,+100,-105,-105,-106,-125,-105,-105,-105,,-120,,,,
2024-04-02,TEX at TB,TEX,TB,8.5,+100,+100,-106,-105,-108,-105,-106,-110,-107,-107,-105,,+100,,,,,-120,-110,-114,-115,-112,-115,-114,-110,-113,-113,-115,,-120,,,,
2024-04-02,COL at CHC,COL,CHC,8.5,-110,-105,-110,-110,-110,-105,-114,-110,-113,-113,-105,,-110,,,,,-110,-106,-110,-110,-110,-115,-106,-110,-107,-107,-115,,-110,,,,
2024-04-02,ATL at CWS,ATL,CWS,9,-115,-130,-107,-105,-105,-105,-105,-130,-107,-107,-105,,-105,,,,,-105,-113,-113,-115,-115,-115,-115,+110,-113,-113,-115,,-115,,,,
2024-04-02,TOR at HOU,TOR,HOU,8.5,-125,-104,-110,-115,-112,-110,-112,-105,-104,-104,-110,,-115,,,,,+105,-105,-110,-105,-108,-110,-108,-115,-117,-117,-110,,-105,,,,
2024-04-02,CLE at SEA,CLE,SEA,7,-120,-118,-118,-120,-118,-120,-122,+105,-121,-121,-120,,-120,,,,,+100,-125,-102,+100,-102,+100,+100,-125,+100,+100,+100,,+100,,,,
2024-04-02,BOS at ATH,BOS,ATH,8.5,-125,-120,-106,-120,-102,-105,+100,-105,-106,-106,-105,,-125,,,,,+105,-115,-115,+100,-118,-125,-122,-115,-115,-115,-125,,+105,,,,
