Date,Matchup,Away,Home,Away_Score,Home_Score,Open_YRFI,Open_NRFI,Best Odds_YRFI,Best Odds_NRFI,Consensus_YRFI,Consensus_NRFI,bet365_YRFI,bet365_NRFI,DraftKings_YRFI,DraftKings_NRFI,BetMGM_YRFI,BetMGM_NRFI,FanDuel_YRFI,FanDuel_NRFI,theScore Bet_YRFI,theScore Bet_NRFI,BetRivers_YRFI,BetRivers_NRFI,SugarHouse_YRFI,SugarHouse_NRFI,PartyCasino_YRFI,PartyCasino_NRFI,Fliff_YRFI,Fliff_NRFI,Caesars_YRFI,Caesars_NRFI,PointsBet_YRFI,PointsBet_NRFI,Hard Rock Bet_YRFI,Hard Rock Bet_NRFI,ESPNBet_YRFI,ESPNBet_NRFI,YRFI_DK,NRFI_DK
2024-04-18,DET @ TEX,DET,TEX,7.0,9.0,-105,-125,-105,-115,-110,-120,,,,,-110,-120,-111,-115,,,,,,,-110,-120,,,-105,-125,,,,,,,,
2024-04-18,LAA @ TB,LAA,TB,2.0,1.0,-115,-110,-105,-113,-110,-120,,,,,-110,-120,-113,-113,,,,,,,-110,-120,,,-105,-125,,,,,,,,
2024-04-18,BOS @ CLE,BOS,CLE,4.0,5.0,-105,-120,+105,-110,+104,-132,,,,,+105,-135,+104,-132,,,,,,,+105,-135,,,-120,-110,,,,,,,,
2024-04-18,ARI @ SF,ARI,SF,5.0,0.0,-115,-115,+105,-125,EVEN,-128,,,,,+105,-135,EVEN,-128,EVEN,-130,,,,,+105,-135,,,-105,-125,,,,,,,,
2024-04-19,CHC @ MIA,CHC,MIA,8.0,3.0,-125,-102,-111,EVEN,-115,-110,-120,-110,-115,-110,-120,-105,-111,-115,-125,-105,-117,-107,-122,EVEN,-120,-105,,,-115,-115,,,,,,,,
2024-04-19,BOS @ PIT,BOS,PIT,1.0,8.0,-104,-122,+102,-120,EVEN,-125,-105,-125,EVEN,-130,-105,-120,EVEN,-128,-105,-125,+102,-129,+102,-129,-105,-120,,,,,,,,,,,,
2024-04-19,CWS @ PHI,CWS,PHI,7.0,0.0,-115,-115,+120,-132,+110,-145,+115,-145,EVEN,-135,+110,-145,+104,-132,+105,-135,+108,-136,+110,-136,+110,-145,,,+120,-150,,,,,,,,
2024-04-19,CIN @ LAA,CIN,LAA,7.0,1.0,-120,-105,-108,EVEN,-120,-110,-120,-110,-120,-110,-115,-115,-108,-120,-115,-115,-115,-107,-115,-107,-115,-115,,,-130,EVEN,,,,,,,,
2024-04-19,HOU @ WSH,HOU,WSH,3.0,5.0,-115,-115,+106,-115,-115,-115,-115,-115,-110,-120,+105,-135,+104,-132,EVEN,-130,+106,-130,+106,-130,+105,-135,,,-115,-115,,,,,,,,
2024-04-20,NYY @ TB,NYY,TB,0.0,2.0,-106,-120,EVEN,EVEN,-113,-115,-130,EVEN,-110,-120,-120,-110,-113,-115,-115,-115,-121,-105,-121,-105,-120,-110,,,EVEN,-130,,,,,,,,
2024-04-20,DET @ MIN,DET,MIN,4.0,3.0,+112,-142,+115,-130,+108,-138,EVEN,-130,+110,-150,+105,-135,+108,-138,+110,-140,+115,-141,+115,-141,+105,-135,,,+115,-145,,,,,,,,
2024-04-20,MIL @ STL,MIL,STL,5.0,12.0,EVEN,-128,+105,-115,-105,-115,-115,-115,-105,-125,-110,-115,-104,-122,-105,-125,EVEN,-124,EVEN,-124,-110,-115,,,+105,-135,,,,,,,,
2024-04-20,CHC @ MIA,CHC,MIA,2.0,3.0,-120,-110,+116,-125,-105,-125,,,-105,-125,-105,-125,+116,-148,-105,-125,-103,-125,-103,-125,-105,-125,,,-105,-125,,,,,,,,
2024-04-20,BOS @ PIT,BOS,PIT,2.0,4.0,+102,-130,+116,-120,+105,-135,-110,-120,+115,-150,+105,-135,+116,-148,+105,-135,+106,-132,+106,-132,+105,-135,,,+105,-135,,,,,,,,
2024-04-21,CWS @ PHI,CWS,PHI,8.0,2.0,-120,-110,EVEN,-113,-105,-120,-115,-115,-105,-125,-105,-120,-106,-120,EVEN,-130,-110,-113,-110,-113,-105,-120,,,-105,-125,,,,,,,,
